#,ocla,o_ID,tcla,t_ID
0,1,96,342,17109
1,1,96,383,19159
2,1,96,607,30359
3,1,96,736,36802
4,1,96,772,38605
5,24,1223,49,2457
6,24,1223,262,13102
7,24,1223,324,16201
8,24,1223,401,20052
9,24,1223,598,29903
10,25,1251,349,17453
11,25,1251,362,18103
12,25,1251,528,26408
13,25,1251,801,40052
14,25,1251,960,48002
15,26,1340,435,21757
16,26,1340,592,29600
17,26,1340,691,34554
18,26,1340,800,40002
19,26,1340,832,41602
20,27,1355,493,24659
21,27,1355,676,33803
22,27,1355,791,39557
23,27,1355,949,47456
24,27,1355,957,47859
25,28,1437,147,7357
26,28,1437,200,10006
27,28,1437,654,32702
28,28,1437,783,39155
29,28,1437,910,45508
30,39,1981,487,24356
31,39,1981,687,34352
32,39,1981,712,35601
33,39,1981,885,44257
34,39,1981,990,49501
35,41,2059,89,4452
36,41,2059,489,24455
37,41,2059,548,27407
38,41,2059,782,39105
39,41,2059,945,47250
40,45,2264,48,2402
41,45,2264,254,12706
42,45,2264,257,12859
43,45,2264,719,35956
44,45,2264,818,40906
45,49,2492,453,22653
46,49,2492,721,36056
47,49,2492,765,38250
48,49,2492,801,40052
49,49,2492,999,49958
50,51,2553,446,22302
51,51,2553,513,25658
52,51,2553,714,35704
53,51,2553,786,39307
54,51,2553,951,47556
55,59,2970,156,7807
56,59,2970,315,15757
57,59,2970,604,30204
58,59,2970,692,34606
59,59,2970,866,43303
60,64,3233,182,9105
61,64,3233,191,9552
62,64,3233,415,20758
63,64,3233,554,27702
64,64,3233,804,40204
65,68,3433,143,7152
66,68,3433,406,20308
67,68,3433,551,27554
68,68,3433,768,38409
69,68,3433,792,39605
70,73,3670,206,10306
71,73,3670,293,14650
72,73,3670,310,15500
73,73,3670,826,41303
74,73,3670,828,41406
75,88,4415,226,11309
76,88,4415,333,16658
77,88,4415,375,18751
78,88,4415,581,29057
79,88,4415,603,30150
80,92,4609,233,11657
81,92,4609,392,19606
82,92,4609,621,31055
83,92,4609,829,41455
84,92,4609,850,42503
85,100,5028,526,26306
86,100,5028,545,27254
87,100,5028,556,27809
88,100,5028,632,31600
89,100,5028,722,36103
90,111,5555,261,13055
91,111,5555,309,15450
