#,ocla,o_ID,tcla,t_ID
0,25,1251,960,48002
1,26,1340,832,41602
2,28,1437,200,10006
3,39,1981,990,49501
4,51,2553,513,25658
5,78,3915,283,14155
6,88,4415,375,18751
7,100,5028,556,27809
8,128,6424,901,45050
9,139,6963,286,14302
10,141,7082,294,14708
11,151,7560,380,19000
12,168,8415,579,28955
13,173,8658,801,40058
14,195,9762,388,19406
15,199,9956,839,41953
16,200,10014,706,35309
17,202,10123,693,34653
18,206,10327,402,20103
19,225,11259,560,28002
20,239,11978,536,26804
21,240,12003,749,37451
22,247,12365,962,48106
23,276,13837,422,21100
24,292,14601,647,32355
25,294,14743,465,23254
26,298,14900,999,49958
27,309,15455,722,36105
28,311,15583,925,46259
29,356,17842,532,26603
30,376,18809,178,8906
31,393,19671,400,20003
32,394,19719,928,46402
33,402,20133,729,36457
34,414,20728,955,47756
35,417,20878,148,7401
36,419,20992,764,38204
37,438,21920,444,22209
38,440,22047,814,40709
39,449,22470,950,47508
40,452,22632,559,27950
41,454,22716,502,25109
42,458,22905,541,27051
43,465,23297,846,42305
44,471,23558,59,2954
45,486,24338,470,23504
46,489,24476,641,32051
47,490,24514,641,32057
48,493,24670,179,8955
49,494,24724,557,27859
50,496,24838,872,43605
51,511,25565,305,15254
52,523,26188,481,24055
53,526,26302,163,8158
54,528,26411,799,39950
55,537,26862,900,45007
56,551,27590,597,29858
57,560,28041,88,4403
58,561,28099,271,13553
59,573,28662,336,16808
60,576,28804,394,19705
61,580,29010,103,5159
62,582,29140,664,33201
63,588,29442,367,18353
64,589,29491,656,32804
65,590,29502,523,26155
66,595,29752,469,23455
67,598,29906,433,21652
68,602,30107,42,2106
69,604,30208,469,23455
70,612,30601,397,19853
71,622,31109,235,11759
72,624,31226,725,36252
73,632,31622,98,4901
74,633,31687,534,26702
75,636,31812,550,27504
76,638,31900,751,37556
77,644,32217,93,4651
78,653,32688,432,21603
79,662,33109,581,29059
80,663,33190,282,14100
81,677,33891,181,9055
82,692,34630,217,10850
83,707,35396,679,33950
84,711,35582,637,31859
85,712,35616,631,31550
86,716,35827,648,32404
87,717,35888,266,13304
88,725,36293,166,8302
89,732,36605,232,11604
90,741,37070,133,6656
91,745,37269,153,7651
92,746,37344,546,27308
93,748,37405,397,19853
94,755,37791,67,3352
95,756,37846,57,2859
96,768,38420,676,33803
97,773,38676,572,28609
98,789,39493,475,23759
99,791,39597,492,24602
100,797,39855,656,32808
101,800,40012,63,3155
102,826,41306,463,23153
103,829,41452,752,37609
104,832,41613,36,1801
105,837,41898,524,26209
106,841,42083,659,32955
107,851,42582,676,33807
108,853,42656,722,36107
109,855,42782,484,24205
110,858,42944,75,3750
111,859,42964,828,41406
112,864,43231,356,17809
113,883,44198,432,21600
114,889,44454,584,29201
115,892,44636,432,21603
116,904,45222,461,23050
117,916,45831,296,14804
118,919,45950,118,5903
119,921,46070,577,28850
