#,ocla,o_ID,tcla,t_ID
0,1,96,342,17109
1,11,585,392,19601
2,24,1223,598,29903
3,26,1340,435,21757
4,27,1355,949,47456
5,51,2553,446,22302
6,60,3042,707,35350
7,100,5028,722,36103
8,127,6384,718,35902
9,128,6424,559,27959
10,141,7082,437,21859
11,157,7894,984,49204
12,168,8415,814,40709
13,195,9762,800,40000
14,196,9824,538,26900
15,206,10327,573,28655
16,219,10965,894,44700
17,225,11259,560,28002
18,230,11500,916,45801
19,247,12365,789,39457
20,263,13195,446,22308
21,292,14601,409,20451
22,322,16101,831,41559
23,340,17033,168,8402
24,356,17842,718,35902
25,372,18620,817,40859
26,392,19602,446,22302
27,394,19719,967,48357
28,398,19940,865,43254
29,402,20133,860,43003
30,414,20728,179,8950
31,419,20992,795,39755
32,438,21920,485,24252
33,443,22158,248,12404
34,449,22470,526,26304
35,452,22632,157,7857
36,454,22716,925,46257
37,458,22905,72,3603
38,465,23297,371,18555
39,479,23975,965,48255
40,482,24118,1,57
41,487,24395,708,35402
42,489,24476,706,35309
43,490,24514,969,48459
44,493,24670,83,4158
45,533,26681,172,8605
46,534,26711,152,7601
47,553,27689,147,7350
48,555,27762,445,22254
49,560,28041,494,24706
50,561,28080,332,16604
51,564,28214,950,47500
52,573,28662,984,49208
53,576,28804,964,48201
54,580,29010,266,13304
55,588,29442,117,5859
56,589,29491,220,11002
57,595,29752,754,37704
58,601,30058,964,48207
59,602,30107,418,20906
60,604,30208,983,49152
61,610,30518,631,31559
62,611,30565,394,19708
63,612,30601,374,18709
64,622,31109,95,4758
65,633,31687,261,13059
66,636,31812,252,12609
67,638,31900,949,47459
68,640,32024,392,19608
69,644,32217,111,5555
70,663,33190,147,7357
71,664,33238,159,7950
72,677,33891,141,7050
73,678,33925,158,7901
74,692,34634,913,45651
75,703,35193,152,7601
76,707,35396,996,49806
77,717,35888,590,29508
78,725,36293,132,6608
79,732,36605,126,6301
80,741,37070,717,35859
81,746,37344,944,47206
82,748,37405,553,27653
83,752,37619,399,19955
84,755,37791,260,13009
85,768,38420,742,37101
86,772,38615,288,14407
87,773,38676,323,16156
88,780,39016,213,10659
89,788,39404,146,7300
90,789,39493,248,12404
91,791,39597,948,47402
92,800,40012,926,46302
93,808,40439,817,40853
94,812,40618,82,4107
95,826,41306,349,17453
96,829,41452,866,43305
97,841,42083,167,8352
98,858,42944,127,6350
99,859,42964,498,24907
100,861,43097,449,22459
101,869,43480,59,2951
102,883,44198,167,8352
103,892,44632,391,19557
104,904,45220,972,48604
105,915,45773,836,41808
106,916,45831,926,46306
107,917,45861,689,34453
108,919,45950,369,18459
109,920,46033,72,3604
110,921,46070,451,22550
111,929,46471,773,38656
112,930,46545,818,40908
113,932,46632,299,14952
114,948,47418,130,6508
115,954,47718,689,34456
116,962,48133,681,34058
117,966,48349,586,29305
118,985,49297,749,37451
119,989,49489,27,1350
