#,ocla,o_ID,tcla,t_ID
0,0,8293,1,134
1,0,8293,2,123
2,0,8293,3,467
3,0,8293,4,465
4,0,8293,5,181
5,0,8293,6,142
6,0,8293,7,60
7,0,8293,8,72
8,0,8293,9,364
9,0,281,1,351
10,0,281,2,65
11,0,281,3,332
12,0,281,4,456
13,0,281,5,232
14,0,281,6,299
15,0,281,7,48
16,0,281,8,202
17,0,281,9,285
18,0,8185,1,494
19,0,8185,2,113
20,0,8185,3,467
21,0,8185,4,355
22,0,8185,5,319
23,0,8185,6,299
24,0,8185,7,326
25,0,8185,8,166
26,0,8185,9,222
27,0,6003,1,290
28,0,6003,2,353
29,0,6003,3,467
30,0,6003,4,227
31,0,6003,5,212
32,0,6003,6,429
33,0,6003,7,83
34,0,6003,8,408
35,0,6003,9,38
36,0,1596,1,240
37,0,1596,2,195
38,0,1596,3,106
39,0,1596,4,94
40,0,1596,5,68
41,0,1596,6,102
42,0,1596,7,13
43,0,1596,8,348
44,0,1596,9,222
45,0,4824,1,414
46,0,4824,2,75
47,0,4824,3,467
48,0,4824,4,278
49,0,4824,5,484
50,0,4824,6,93
51,0,4824,7,371
52,0,4824,8,72
53,0,4824,9,38
54,0,7257,1,290
55,0,7257,2,65
56,0,7257,3,256
57,0,7257,4,110
58,0,7257,5,207
59,0,7257,6,481
60,0,7257,7,410
61,0,7257,8,185
62,0,7257,9,222
63,0,9482,1,231
64,0,9482,2,67
65,0,9482,3,464
66,0,9482,4,355
67,0,9482,5,389
68,0,9482,6,392
69,0,9482,7,339
70,0,9482,8,408
71,0,9482,9,38
72,0,8017,1,82
73,0,8017,2,67
74,0,8017,3,467
75,0,8017,4,465
76,0,8017,5,484
77,0,8017,6,395
78,0,8017,7,137
79,0,8017,8,72
80,0,8017,9,38
81,0,7533,1,462
82,0,7533,2,353
83,0,7533,3,467
84,0,7533,4,24
85,0,7533,5,239
86,0,7533,6,93
87,0,7533,7,371
88,0,7533,8,80
89,0,7533,9,89
90,1,622,0,298
91,1,622,2,75
92,1,622,3,432
93,1,622,4,94
94,1,622,5,12
95,1,622,6,311
96,1,622,7,418
97,1,622,8,51
98,1,622,9,38
99,1,414,0,276
100,1,414,2,436
101,1,414,3,467
102,1,414,4,159
103,1,414,5,455
104,1,414,6,311
105,1,414,7,60
106,1,414,8,480
107,1,414,9,23
108,1,66,0,44
109,1,66,2,75
110,1,66,3,467
111,1,66,4,24
112,1,66,5,39
113,1,66,6,311
114,1,66,7,410
115,1,66,8,344
116,1,66,9,133
117,1,231,0,298
118,1,231,2,123
119,1,231,3,467
120,1,231,4,465
121,1,231,5,207
122,1,231,6,311
123,1,231,7,386
124,1,231,8,202
125,1,231,9,171
126,1,1301,0,192
127,1,1301,2,75
128,1,1301,3,432
129,1,1301,4,295
130,1,1301,5,31
131,1,1301,6,299
132,1,1301,7,435
133,1,1301,8,492
134,1,1301,9,252
135,1,8157,0,192
136,1,8157,2,67
137,1,8157,3,467
138,1,8157,4,36
139,1,8157,5,361
140,1,8157,6,95
141,1,8157,7,137
142,1,8157,8,472
143,1,8157,9,38
144,1,659,0,44
145,1,659,2,65
146,1,659,3,294
147,1,659,4,456
148,1,659,5,319
149,1,659,6,311
150,1,659,7,177
151,1,659,8,51
152,1,659,9,360
153,1,2220,0,116
154,1,2220,2,182
155,1,2220,3,432
156,1,2220,4,456
157,1,2220,5,327
158,1,2220,6,311
159,1,2220,7,410
160,1,2220,8,202
161,1,2220,9,252
162,1,105,0,298
163,1,105,2,409
164,1,105,3,467
165,1,105,4,365
166,1,105,5,181
167,1,105,6,95
168,1,105,7,137
169,1,105,8,72
170,1,105,9,38
171,1,241,0,116
172,1,241,2,182
173,1,241,3,467
174,1,241,4,159
175,1,241,5,319
176,1,241,6,341
177,1,241,7,326
178,1,241,8,73
179,1,241,9,364
180,2,740,0,44
181,2,740,1,82
182,2,740,3,78
183,2,740,4,456
184,2,740,5,361
185,2,740,6,392
186,2,740,7,60
187,2,740,8,472
188,2,740,9,38
189,2,2984,0,281
190,2,2984,1,366
191,2,2984,3,332
192,2,2984,4,110
193,2,2984,5,318
194,2,2984,6,392
195,2,2984,7,475
196,2,2984,8,132
197,2,2984,9,38
198,2,2074,0,312
199,2,2074,1,305
200,2,2074,3,467
201,2,2074,4,227
202,2,2074,5,238
203,2,2074,6,282
204,2,2074,7,339
205,2,2074,8,92
206,2,2074,9,38
207,2,4440,0,244
208,2,4440,1,390
209,2,4440,3,251
210,2,4440,4,167
211,2,4440,5,230
212,2,4440,6,311
213,2,4440,7,137
214,2,4440,8,202
215,2,4440,9,23
216,2,2566,0,44
217,2,2566,1,134
218,2,2566,3,467
219,2,2566,4,465
220,2,2566,5,181
221,2,2566,6,95
222,2,2566,7,137
223,2,2566,8,79
224,2,2566,9,38
225,2,2746,0,363
226,2,2746,1,290
227,2,2746,3,294
228,2,2746,4,94
229,2,2746,5,147
230,2,2746,6,102
231,2,2746,7,13
232,2,2746,8,51
233,2,2746,9,350
234,2,3371,0,90
235,2,3371,1,131
236,2,3371,3,464
237,2,3371,4,465
238,2,3371,5,327
239,2,3371,6,392
240,2,3371,7,288
241,2,3371,8,480
242,2,3371,9,38
243,2,3713,0,276
244,2,3713,1,240
245,2,3713,3,251
246,2,3713,4,94
247,2,3713,5,68
248,2,3713,6,102
249,2,3713,7,137
250,2,3713,8,173
251,2,3713,9,349
252,2,3960,0,44
253,2,3960,1,369
254,2,3960,3,77
255,2,3960,4,117
256,2,3960,5,345
257,2,3960,6,95
258,2,3960,7,208
259,2,3960,8,139
260,2,3960,9,23
261,2,4421,0,244
262,2,4421,1,493
263,2,4421,3,256
264,2,4421,4,117
265,2,4421,5,345
266,2,4421,6,413
267,2,4421,7,137
268,2,4421,8,139
269,2,4421,9,89
270,3,5349,0,179
271,3,5349,1,9
272,3,5349,2,67
273,3,5349,4,355
274,3,5349,5,484
275,3,5349,6,392
276,3,5349,7,137
277,3,5349,8,92
278,3,5349,9,38
279,3,9740,0,281
280,3,9740,1,122
281,3,9740,2,277
282,3,9740,4,94
283,3,9740,5,318
284,3,9740,6,299
285,3,9740,7,203
286,3,9740,8,233
287,3,9740,9,38
288,3,3073,0,496
289,3,3073,1,290
290,3,3073,2,374
291,3,3073,4,479
292,3,3073,5,68
293,3,3073,6,380
294,3,3073,7,119
295,3,3073,8,472
296,3,3073,9,350
297,3,8338,0,281
298,3,8338,1,131
299,3,8338,2,340
300,3,8338,4,130
301,3,8338,5,212
302,3,8338,6,413
303,3,8338,7,208
304,3,8338,8,54
305,3,8338,9,38
306,3,4975,0,235
307,3,4975,1,231
308,3,4975,2,65
309,3,4975,4,159
310,3,4975,5,345
311,3,4975,6,296
312,3,4975,7,317
313,3,4975,8,202
314,3,4975,9,252
315,3,2832,0,44
316,3,2832,1,390
317,3,2832,2,393
318,3,2832,4,227
319,3,2832,5,68
320,3,2832,6,380
321,3,2832,7,339
322,3,2832,8,54
323,3,2832,9,38
324,3,3129,0,44
325,3,3129,1,104
326,3,3129,2,67
327,3,3129,4,465
328,3,3129,5,345
329,3,3129,6,392
330,3,3129,7,17
331,3,3129,8,202
332,3,3129,9,133
333,3,2076,0,281
334,3,2076,1,493
335,3,2076,2,374
336,3,2076,4,94
337,3,2076,5,12
338,3,2076,6,299
339,3,2076,7,203
340,3,2076,8,233
341,3,2076,9,23
342,3,5856,0,10
343,3,5856,1,369
344,3,5856,2,67
345,3,5856,4,117
346,3,5856,5,207
347,3,5856,6,395
348,3,5856,7,418
349,3,5856,8,73
350,3,5856,9,252
351,3,121,0,449
352,3,121,1,330
353,3,121,2,374
354,3,121,4,456
355,3,121,5,318
356,3,121,6,296
357,3,121,7,60
358,3,121,8,260
359,3,121,9,252
360,4,2218,0,281
361,4,2218,1,193
362,4,2218,2,374
363,4,2218,3,121
364,4,2218,5,438
365,4,2218,6,299
366,4,2218,7,52
367,4,2218,8,233
368,4,2218,9,252
369,4,3296,0,281
370,4,3296,1,193
371,4,3296,2,65
372,4,3296,3,106
373,4,3296,5,141
374,4,3296,6,296
375,4,3296,7,203
376,4,3296,8,233
377,4,3296,9,133
378,4,3402,0,90
379,4,3402,1,104
380,4,3402,2,340
381,4,3402,3,294
382,4,3402,5,343
383,4,3402,6,413
384,4,3402,7,410
385,4,3402,8,108
386,4,3402,9,222
387,4,4132,0,276
388,4,4132,1,369
389,4,4132,2,374
390,4,4132,3,158
391,4,4132,5,39
392,4,4132,6,311
393,4,4132,7,208
394,4,4132,8,260
395,4,4132,9,133
396,4,4205,0,235
397,4,4205,1,369
398,4,4205,2,182
399,4,4205,3,432
400,4,4205,5,361
401,4,4205,6,311
402,4,4205,7,326
403,4,4205,8,260
404,4,4205,9,252
405,4,5414,0,281
406,4,5414,1,490
407,4,5414,2,65
408,4,5414,3,256
409,4,5414,5,438
410,4,5414,6,299
411,4,5414,7,13
412,4,5414,8,233
413,4,5414,9,252
414,4,5702,0,312
415,4,5702,1,231
416,4,5702,2,123
417,4,5702,3,467
418,4,5702,5,207
419,4,5702,6,282
420,4,5702,7,119
421,4,5702,8,482
422,4,5702,9,89
423,4,6664,0,44
424,4,6664,1,193
425,4,6664,2,65
426,4,6664,3,321
427,4,6664,5,384
428,4,6664,6,296
429,4,6664,7,339
430,4,6664,8,233
431,4,6664,9,335
432,4,7322,0,90
433,4,7322,1,493
434,4,7322,2,182
435,4,7322,3,205
436,4,7322,5,178
437,4,7322,6,311
438,4,7322,7,60
439,4,7322,8,108
440,4,7322,9,23
441,4,1003,0,312
442,4,1003,1,246
443,4,1003,2,342
444,4,1003,3,467
445,4,1003,5,361
446,4,1003,6,112
447,4,1003,7,137
448,4,1003,8,72
449,4,1003,9,38
450,5,699,0,44
451,5,699,1,104
452,5,699,2,498
453,5,699,3,332
454,5,699,4,465
455,5,699,6,329
456,5,699,7,48
457,5,699,8,202
458,5,699,9,349
459,5,8789,0,235
460,5,8789,1,290
461,5,8789,2,374
462,5,8789,3,256
463,5,8789,4,456
464,5,8789,6,311
465,5,8789,7,326
466,5,8789,8,73
467,5,8789,9,89
468,5,2056,0,90
469,5,2056,1,290
470,5,2056,2,374
471,5,2056,3,432
472,5,2056,4,32
473,5,2056,6,311
474,5,2056,7,208
475,5,2056,8,408
476,5,2056,9,411
477,5,2317,0,90
478,5,2317,1,369
479,5,2317,2,340
480,5,2317,3,432
481,5,2317,4,500
482,5,2317,6,299
483,5,2317,7,208
484,5,2317,8,73
485,5,2317,9,11
486,5,2998,0,179
487,5,2998,1,114
488,5,2998,2,340
489,5,2998,3,464
490,5,2998,4,365
491,5,2998,6,347
492,5,2998,7,339
493,5,2998,8,202
494,5,2998,9,38
495,5,4747,0,44
496,5,4747,1,104
497,5,4747,2,277
498,5,4747,3,294
499,5,4747,4,267
500,5,4747,6,311
501,5,4747,7,371
502,5,4747,8,348
503,5,4747,9,38
504,5,5269,0,491
505,5,5269,1,66
506,5,5269,2,182
507,5,5269,3,432
508,5,5269,4,117
509,5,5269,6,392
510,5,5269,7,177
511,5,5269,8,202
512,5,5269,9,38
513,5,6072,0,44
514,5,6072,1,240
515,5,6072,2,374
516,5,6072,3,294
517,5,6072,4,479
518,5,6072,6,311
519,5,6072,7,268
520,5,6072,8,54
521,5,6072,9,349
522,5,6584,0,90
523,5,6584,1,241
524,5,6584,2,67
525,5,6584,3,103
526,5,6584,4,24
527,5,6584,6,380
528,5,6584,7,137
529,5,6584,8,108
530,5,6584,9,252
531,5,2915,0,90
532,5,2915,1,440
533,5,2915,2,340
534,5,2915,3,256
535,5,2915,4,500
536,5,2915,6,413
537,5,2915,7,386
538,5,2915,8,73
539,5,2915,9,252
540,6,6523,0,44
541,6,6523,1,240
542,6,6523,2,353
543,6,6523,3,251
544,6,6523,4,224
545,6,6523,5,68
546,6,6523,7,13
547,6,6523,8,202
548,6,6523,9,222
549,6,9325,0,235
550,6,9325,1,283
551,6,9325,2,123
552,6,9325,3,128
