#,ocla,o_ID,tcla,t_ID
0,9,45,5,58
1,1,66,3,467
2,1,105,4,365
3,7,109,4,500
4,9,133,1,366
5,8,144,2,182
6,9,170,0,298
7,8,185,3,320
8,7,216,3,467
9,9,225,7,386
10,1,231,2,123
11,1,231,0,298
12,1,241,5,319
13,0,281,5,232
14,1,290,3,432
15,6,299,0,90
16,9,331,0,235
17,9,335,6,380
18,9,360,1,193
19,9,364,3,467
20,9,394,8,202
21,9,400,3,467
22,1,414,8,480
23,7,417,1,104
24,1,493,6,299
25,1,540,2,436
26,9,554,6,299
27,9,554,5,207
28,9,554,0,281
29,9,589,3,467
30,1,594,2,75
31,7,620,6,311
32,1,622,4,94
33,9,626,0,98
34,7,643,9,335
35,1,659,5,319
36,9,666,2,67
37,9,666,6,311
38,9,666,7,219
39,9,684,3,464
40,5,699,1,104
41,1,723,3,432
42,1,726,2,65
43,7,732,4,227
44,2,740,9,38
45,6,777,1,246
46,9,780,5,207
47,7,782,2,374
48,7,798,9,38
49,1,869,8,72
50,1,869,9,38
51,1,895,5,457
52,9,940,8,202
53,1,968,6,95
54,9,970,8,344
55,9,970,5,437
56,1,987,4,463
57,1,1020,7,137
58,1,1098,8,35
59,9,1136,3,321
60,9,1136,7,445
61,1,1190,7,317
62,9,1221,3,0
63,9,1231,1,193
64,7,1246,8,196
65,8,1262,3,294
66,1,1288,4,456
67,1,1301,9,252
68,1,1313,5,141
69,9,1314,2,340
70,9,1314,5,250
71,7,1351,9,38
72,9,1359,0,264
73,9,1376,3,467
74,1,1493,5,141
75,9,1582,5,319
76,0,1596,2,195
77,7,1616,0,298
78,9,1692,6,311
79,1,1716,5,384
80,1,1751,2,75
81,1,1784,7,386
82,9,1815,8,73
83,9,1834,1,82
84,7,1839,3,467
85,9,1844,7,371
86,7,1864,8,15
87,1,1880,2,65
88,9,1881,1,231
89,7,1899,0,235
90,9,1914,4,479
91,9,1915,0,90
92,1,1925,4,159
93,1,2045,9,38
94,5,2056,9,411
95,2,2074,7,339
96,1,2092,5,141
97,9,2111,8,344
98,9,2129,6,95
99,9,2158,4,278
100,7,2163,2,182
101,9,2174,5,31
102,9,2177,6,299
103,9,2188,3,53
104,4,2218,3,121
105,1,2220,7,410
106,1,2238,3,251
107,7,2239,0,90
108,1,2274,7,56
109,9,2282,1,114
110,9,2305,5,207
111,5,2317,8,73
112,6,2338,0,235
113,7,2340,4,479
114,8,2380,2,353
115,9,2402,7,386
116,9,2446,0,298
117,7,2470,9,38
118,8,2492,6,341
119,9,2517,2,498
120,9,2521,7,317
121,9,2528,8,72
122,2,2566,7,137
123,1,2601,9,285
124,1,2616,2,248
125,9,2656,7,339
126,8,2745,4,463
127,2,2746,8,51
128,7,2753,9,280
129,1,2758,2,182
130,9,2789,2,340
131,9,2793,3,467
132,1,2838,3,467
133,1,2859,9,38
134,7,2882,4,32
135,7,2889,5,46
136,1,2928,6,311
137,9,2931,3,321
138,9,2944,3,467
139,2,2984,0,281
140,5,2998,1,114
141,1,3012,6,311
142,1,3033,4,465
143,9,3055,1,390
144,1,3074,2,75
145,1,3077,3,467
146,9,3086,2,248
147,7,3096,4,117
148,9,3145,1,82
149,9,3161,2,67
150,7,3196,2,113
151,6,3198,1,231
152,7,3223,2,436
153,9,3225,7,208
154,9,3295,8,15
155,4,3296,3,106
156,9,3307,4,24
157,9,3307,7,371
158,9,3307,2,182
159,2,3371,8,480
160,2,3371,1,131
161,7,3384,1,66
162,9,3397,6,96
163,4,3402,7,410
164,1,3418,2,65
165,6,3435,1,246
166,9,3504,8,15
167,1,3549,4,456
168,1,3612,0,44
169,1,3632,9,171
170,1,3632,9,171
171,9,3644,5,319
172,7,3648,6,311
173,2,3713,9,349
174,9,3738,8,92
175,7,3778,6,311
176,7,3788,4,456
177,1,3838,6,30
178,9,3846,2,342
179,1,3948,9,171
180,2,3960,3,77
181,1,3963,3,256
182,1,3976,2,476
183,7,3985,6,311
184,1,4015,7,324
185,9,4018,8,202
186,8,4024,4,40
187,4,4132,1,369
188,7,4154,8,202
189,9,4168,1,493
190,7,4183,1,283
191,4,4205,9,252
192,9,4233,1,193
193,1,4237,2,248
194,1,4237,2,248
195,6,4243,1,246
196,9,4253,0,473
197,9,4253,5,207
198,1,4271,9,38
199,1,4271,9,38
200,1,4278,4,295
201,9,4284,8,472
202,9,4284,6,311
203,9,4293,1,286
204,9,4297,4,224
205,8,4370,1,290
206,1,4372,4,227
207,9,4396,7,60
208,9,4417,0,235
209,2,4421,5,345
210,2,4421,9,89
211,1,4424,9,243
212,1,4437,8,72
213,2,4440,0,244
214,9,4445,8,492
215,9,4445,4,36
216,7,4479,4,22
217,7,4502,0,235
218,7,4502,8,126
219,1,4531,8,51
220,8,4539,2,182
221,1,4543,9,252
222,6,4579,0,281
223,7,4592,1,82
224,1,4633,5,384
225,1,4633,7,60
226,9,4656,2,67
227,1,4658,0,90
228,9,4680,2,353
229,9,4680,0,297
230,1,4689,7,435
231,1,4689,9,252
232,9,4704,1,6
233,1,4713,4,159
234,9,4715,5,302
235,9,4719,2,476
236,9,4727,2,123
237,9,4737,7,419
238,9,4737,4,479
239,1,4741,9,243
240,5,4747,3,294
241,1,4773,9,174
242,1,4773,7,326
243,1,4773,7,326
244,6,4774,1,283
245,1,4806,9,222
246,0,4824,8,72
247,1,4831,8,72
248,1,4831,7,317
249,1,4848,2,67
250,7,4853,8,492
251,6,4882,0,90
252,1,4890,7,60
253,1,4893,0,90
254,7,4896,8,92
255,1,4927,4,456
256,1,4948,4,36
257,1,4948,8,173
258,1,4978,7,288
259,9,4979,8,72
260,1,5051,8,362
261,9,5087,2,75
262,1,5108,3,432
263,1,5108,8,202
264,1,5127,4,295
265,9,5170,8,185
266,9,5192,0,116
267,7,5209,8,202
268,1,5226,3,256
269,1,5226,9,252
270,7,5247,6,392
271,6,5264,2,374
272,5,5269,1,66
273,7,5299,4,500
274,7,5299,9,38
275,9,5300,2,195
276,9,5300,7,48
277,9,5315,1,283
278,3,5349,2,67
279,9,5360,6,392
280,1,5378,9,360
281,4,5414,2,65
282,1,5431,3,332
283,7,5464,0,281
284,7,5465,1,246
285,7,5465,4,110
286,1,5470,2,65
287,6,5471,1,240
288,1,5483,7,177
289,9,5484,3,256
290,1,5566,2,436
291,9,5573,4,224
292,9,5627,7,326
293,7,5696,8,92
294,1,5697,2,182
295,1,5697,4,456
296,4,5702,3,467
297,9,5759,1,82
298,9,5759,6,380
299,2,5771,4,377
300,1,5799,3,467
301,1,5899,2,248
302,7,5913,3,0
303,1,5918,5,345
304,1,5918,5,345
305,9,5941,0,264
306,9,5952,3,432
307,9,5975,7,268
308,0,6003,5,212
309,1,6010,5,12
310,9,6034,7,177
311,7,6041,8,54
312,1,6048,9,252
313,5,6072,3,294
314,1,6080,9,38
315,1,6080,5,318
316,1,6086,2,182
317,9,6156,4,24
318,9,6156,2,291
319,1,6173,2,476
320,8,6211,6,95
321,9,6313,5,141
322,9,6313,1,390
323,7,6325,5,431
324,9,6369,8,73
325,9,6377,1,290
326,9,6409,4,224
327,9,6409,2,248
328,9,6509,0,90
329,6,6523,8,202
330,9,6561,8,185
331,9,6579,7,435
332,9,6579,7,435
333,5,6584,4,24
334,1,6655,4,159
335,7,6657,8,202
336,1,6659,7,60
337,4,6664,6,296
338,1,6788,9,360
339,1,6788,5,318
340,7,6807,9,89
341,9,6840,8,73
342,1,6886,2,65
343,9,6891,8,202
344,9,6891,0,276
345,9,6960,6,311
346,9,6960,1,193
347,9,6963,5,384
348,1,6991,3,467
349,9,7058,1,494
350,1,7071,7,13
351,1,7136,8,358
352,1,7156,7,219
353,7,7226,4,254
354,0,7257,5,207
355,7,7293,9,38
356,9,7297,2,291
