#,ocla,o_ID,tcla,t_ID
0,6,5,1,493
1,0,21,7,83
2,0,21,9,38
3,6,30,8,233
4,9,34,6,299
5,0,44,5,250
6,8,54,5,190
7,2,67,5,488
8,2,75,1,82
9,7,83,1,131
10,0,98,8,92
11,1,105,5,181
12,7,109,4,500
13,7,109,0,44
14,3,115,8,173
15,7,119,8,185
16,2,123,1,104
17,3,176,1,369
18,7,194,0,90
19,7,198,4,500
20,7,210,0,44
21,6,221,9,23
22,9,225,8,202
23,9,225,3,294
24,6,229,0,235
25,1,231,5,207
26,1,231,8,202
27,0,235,5,207
28,0,235,9,252
29,1,246,3,467
30,1,246,5,207
31,0,257,5,190
32,9,280,5,31
33,1,286,4,236
34,1,290,5,250
35,1,305,5,190
36,1,325,8,55
37,5,327,0,90
38,7,339,8,202
39,6,341,5,361
40,9,349,5,31
41,2,353,9,38
42,8,385,7,83
43,8,385,5,181
44,8,385,9,38
45,2,387,0,90
46,5,389,8,408
47,5,389,0,281
48,2,391,5,319
49,2,391,9,285
50,2,391,3,176
51,2,391,1,290
52,9,411,5,488
53,0,423,9,253
54,0,447,7,83
55,0,447,9,38
56,6,461,8,202
57,7,468,0,235
58,2,497,1,369
59,1,540,6,380
60,1,540,2,436
61,1,540,7,410
62,1,540,5,488
63,7,543,1,369
64,9,545,5,345
65,9,554,3,336
66,5,601,1,105
67,9,609,8,202
68,9,609,6,112
69,9,609,3,467
70,6,632,0,44
71,8,636,5,250
72,7,643,0,90
73,4,647,1,104
74,1,1006,7,13
75,0,1018,9,285
76,1,1021,6,299
77,0,1026,3,127
78,1,1048,7,326
79,9,1064,0,235
80,0,1078,7,83
81,7,1170,8,408
82,1,1176,5,319
83,6,1178,8,202
84,8,1213,9,38
85,8,1262,9,253
86,1,1301,7,435
87,5,1316,0,235
88,0,1323,3,467
89,9,1359,2,67
90,1,1363,7,13
91,8,1369,5,31
92,1,1372,7,410
93,2,1374,7,137
94,1,1378,5,250
95,1,1378,3,467
96,9,1387,5,207
97,0,1397,3,467
98,2,1399,9,364
99,2,1399,7,371
100,1,1410,5,319
101,1,1412,5,141
102,8,1419,6,311
103,0,1463,5,318
104,7,1473,8,214
105,6,1489,0,90
106,6,1513,0,90
107,4,1516,5,319
108,4,1523,9,38
109,0,1579,3,467
110,0,1579,5,39
111,2,1581,1,131
112,9,1582,7,137
113,5,1588,1,490
114,5,1637,0,312
115,7,1647,8,202
116,9,1654,5,190
117,9,1654,6,311
118,8,1655,3,53
119,8,1655,5,319
120,8,2007,5,141
121,6,2016,0,90
122,5,2056,0,90
123,2,2090,1,82
124,6,2093,5,470
125,3,2107,0,281
126,0,2122,7,168
127,1,2125,3,467
128,7,2147,0,235
129,7,2167,8,233
130,1,2176,5,319
131,8,2198,5,319
132,1,2206,5,361
133,5,2219,0,44
134,1,2220,3,432
135,7,2234,5,207
136,5,2277,0,235
137,4,2283,0,281
138,1,2289,0,44
139,5,2291,0,235
140,7,2326,6,413
141,1,2345,5,438
142,1,3001,3,121
143,0,3024,9,38
144,5,3045,8,202
145,8,3046,6,95
146,8,3046,5,319
147,1,3074,6,299
148,1,3077,5,361
149,1,3080,5,318
150,1,3080,4,36
151,8,3089,6,299
152,8,3089,5,319
153,8,3089,9,225
