#,ocla,o_ID,tcla,t_ID
0,9,45,3,467
1,1,66,5,39
2,1,105,5,181
3,7,109,0,44
4,9,133,3,332
5,8,144,5,389
6,9,170,7,208
7,8,185,9,89
8,7,216,5,181
9,9,225,8,202
10,1,231,6,311
11,1,231,8,202
12,1,241,6,341
13,0,281,3,332
14,1,290,5,250
15,6,299,9,360
16,9,331,6,95
17,9,335,7,386
18,9,360,6,380
19,9,364,6,392
20,9,394,0,44
21,9,400,0,257
22,1,414,3,467
23,7,417,9,222
24,1,493,5,318
25,1,540,5,488
26,9,554,0,281
27,9,554,6,299
28,9,554,8,173
29,9,589,6,379
30,1,594,5,361
31,7,620,9,89
32,1,622,0,298
33,9,626,3,467
34,7,643,0,90
35,1,659,0,44
36,9,666,0,281
37,9,666,3,158
38,9,666,8,185
39,9,684,0,298
40,5,699,0,44
41,1,723,6,311
42,1,726,6,299
43,7,732,0,235
44,2,740,0,44
45,6,777,9,349
46,9,780,6,392
47,7,782,9,252
48,7,798,0,235
49,1,869,0,90
50,1,869,6,347
51,1,895,6,299
52,9,940,6,96
53,1,968,0,235
54,9,970,0,235
55,9,970,8,344
56,1,987,6,95
57,1,1020,6,95
58,1,1098,0,192
59,9,1136,5,207
60,9,1136,6,380
61,1,1190,5,319
62,9,1221,0,90
63,9,1231,0,281
64,7,1246,0,44
65,8,1262,9,253
66,1,1288,0,235
67,1,1301,7,435
68,1,1313,6,311
69,9,1314,0,298
70,9,1314,7,339
71,7,1351,5,212
72,9,1359,3,464
73,9,1376,6,299
74,1,1493,0,44
75,9,1582,7,137
76,0,1596,8,348
77,7,1616,5,58
78,9,1692,3,467
79,1,1716,0,281
80,1,1751,0,44
81,1,1784,6,311
82,9,1815,0,235
83,9,1834,6,311
84,7,1839,5,207
85,9,1844,0,264
86,7,1864,4,159
87,1,1880,0,281
88,9,1881,6,392
89,7,1899,5,58
90,9,1914,0,235
91,9,1915,6,95
92,1,1925,0,235
93,1,2045,0,298
94,5,2056,0,90
95,2,2074,0,312
96,1,2092,0,44
97,9,2111,6,311
98,9,2129,7,410
99,9,2158,7,386
100,7,2163,4,500
101,9,2174,3,256
102,9,2177,0,281
103,9,2188,7,375
104,4,2218,0,281
105,1,2220,3,432
106,1,2238,6,299
107,7,2239,5,58
108,1,2274,6,95
109,9,2282,3,256
110,9,2305,0,90
111,5,2317,0,90
112,6,2338,9,174
113,7,2340,5,58
114,8,2380,3,467
115,9,2402,3,467
116,9,2446,7,208
117,7,2470,5,460
118,8,2492,5,343
119,9,2517,0,298
120,9,2521,0,125
121,9,2528,7,208
122,2,2566,0,44
123,1,2601,6,311
124,1,2616,5,207
125,9,2656,0,298
126,8,2745,3,256
127,2,2746,0,363
128,7,2753,0,90
129,1,2758,6,95
130,9,2789,6,311
131,9,2793,0,116
132,1,2838,5,488
133,1,2859,0,276
134,7,2882,9,252
135,7,2889,0,235
136,1,2928,5,343
137,9,2931,0,90
138,9,2944,5,239
139,2,2984,8,132
140,5,2998,0,179
141,1,3012,0,368
142,1,3033,0,90
143,9,3055,0,496
144,1,3074,6,299
145,1,3077,5,361
146,9,3086,3,467
147,7,3096,5,68
148,9,3145,0,235
149,9,3161,6,95
150,7,3196,1,290
151,6,3198,5,212
152,7,3223,5,58
153,9,3225,6,95
154,9,3295,3,256
155,4,3296,0,281
156,9,3307,0,264
157,9,3307,3,467
158,9,3307,6,112
159,2,3371,0,90
160,2,3371,8,480
161,7,3384,4,500
162,9,3397,0,368
163,4,3402,0,90
164,1,3418,0,281
165,6,3435,5,141
166,9,3504,6,311
167,1,3549,5,319
168,1,3612,5,488
169,1,3632,3,332
170,1,3632,6,299
171,9,3644,6,4
172,7,3648,9,335
173,2,3713,0,276
174,9,3738,3,467
175,7,3778,9,252
176,7,3788,9,487
177,1,3838,0,496
178,9,3846,6,392
179,1,3948,0,312
180,2,3960,0,44
181,1,3963,0,235
182,1,3976,6,481
183,7,3985,9,38
184,1,4015,0,192
185,9,4018,3,53
186,8,4024,0,449
187,4,4132,0,276
188,7,4154,1,114
189,9,4168,7,60
190,7,4183,5,181
191,4,4205,0,235
192,9,4233,0,281
193,1,4237,0,90
194,1,4237,5,343
195,6,4243,9,349
196,9,4253,3,0
197,9,4253,6,347
198,1,4271,5,141
199,1,4271,6,292
200,1,4278,5,478
201,9,4284,0,281
202,9,4284,3,432
203,9,4293,0,496
204,9,4297,7,324
205,8,4370,5,343
206,1,4372,6,95
207,9,4396,0,90
208,9,4417,6,311
209,2,4421,0,244
210,2,4421,7,137
211,1,4424,6,282
212,1,4437,0,235
213,2,4440,8,202
214,9,4445,6,311
215,9,4445,7,375
216,7,4479,9,133
217,7,4502,4,32
218,7,4502,5,484
219,1,4531,5,327
220,8,4539,0,281
221,1,4543,6,299
222,6,4579,5,57
223,7,4592,4,458
224,1,4633,0,298
225,1,4633,6,341
226,9,4656,6,311
227,1,4658,6,95
228,9,4680,3,399
229,9,4680,7,371
230,1,4689,0,473
231,1,4689,3,432
232,9,4704,3,176
233,1,4713,5,250
234,9,4715,0,235
235,9,4719,8,242
236,9,4727,3,256
237,9,4737,0,90
238,9,4737,6,347
239,1,4741,6,299
240,5,4747,0,44
241,1,4773,0,281
242,1,4773,5,457
243,1,4773,6,299
244,6,4774,9,38
245,1,4806,5,319
246,0,4824,9,38
247,1,4831,0,235
248,1,4831,5,389
249,1,4848,6,95
250,7,4853,5,58
251,6,4882,5,250
252,1,4890,5,319
253,1,4893,5,478
254,7,4896,9,38
255,1,4927,5,101
256,1,4948,5,141
257,1,4948,7,208
258,1,4978,5,319
259,9,4979,7,410
260,1,5051,3,256
261,9,5087,6,413
262,1,5108,5,318
263,1,5108,6,380
264,1,5127,6,380
265,9,5170,0,298
266,9,5192,3,467
267,7,5209,5,58
268,1,5226,0,496
269,1,5226,6,299
270,7,5247,5,488
271,6,5264,9,360
272,5,5269,0,491
273,7,5299,0,90
274,7,5299,1,369
275,9,5300,3,77
276,9,5300,5,457
277,9,5315,7,119
278,3,5349,0,179
279,9,5360,0,276
280,1,5378,0,179
281,4,5414,0,281
282,1,5431,6,429
283,7,5464,3,103
284,7,5465,0,281
285,7,5465,5,207
286,1,5470,5,155
287,6,5471,9,360
288,1,5483,0,281
289,9,5484,7,219
290,1,5566,5,190
291,9,5573,0,496
292,9,5627,0,406
293,7,5696,5,302
294,1,5697,0,496
295,1,5697,8,202
296,4,5702,0,312
297,9,5759,0,281
298,9,5759,3,321
299,2,5771,0,235
300,1,5799,6,329
301,1,5899,5,12
302,7,5913,5,450
303,1,5918,3,467
304,1,5918,6,329
305,9,5941,6,392
306,9,5952,0,235
307,9,5975,6,95
308,0,6003,7,83
309,1,6010,0,235
310,9,6034,0,90
311,7,6041,0,90
312,1,6048,0,235
313,5,6072,0,44
314,1,6080,0,235
315,1,6080,7,288
316,1,6086,0,90
317,9,6156,0,298
318,9,6156,8,344
319,1,6173,6,461
320,8,6211,5,343
321,9,6313,3,467
322,9,6313,5,141
323,7,6325,0,153
324,9,6369,0,192
325,9,6377,0,244
326,9,6409,0,235
327,9,6409,5,319
328,9,6509,7,208
329,6,6523,0,44
330,9,6561,7,60
331,9,6579,0,235
332,9,6579,3,332
333,5,6584,0,90
334,1,6655,0,235
335,7,6657,5,318
336,1,6659,0,179
337,4,6664,0,44
338,1,6788,3,432
339,1,6788,6,380
340,7,6807,5,207
341,9,6840,0,281
342,1,6886,5,318
343,9,6891,3,467
344,9,6891,6,299
345,9,6960,3,432
346,9,6960,7,60
347,9,6963,8,139
348,1,6991,5,181
349,9,7058,6,329
350,1,7071,6,380
351,1,7136,0,192
352,1,7156,6,311
353,7,7226,5,141
354,0,7257,3,256
355,7,7293,2,182
356,9,7297,0,406
357,4,7322,0,90
358,6,7339,5,31
359,2,7360,0,473
360,8,7418,0,116
361,2,7430,0,363
362,9,7444,3,0
363,6,7466,5,389
364,9,7470,0,235
365,9,7501,3,467
366,7,7505,3,0
367,9,7512,7,208
368,1,7516,3,427
369,0,7533,3,467
370,7,7546,5,68
371,9,7547,6,329
372,9,7592,6,311
373,1,7634,6,341
374,9,7640,6,311
375,8,7653,0,276
376,1,7656,5,455
377,1,7656,6,142
378,1,7704,6,392
379,9,7770,0,264
380,8,7782,2,123
381,9,7806,3,467
382,7,7859,5,58
383,1,7878,6,95
384,7,7886,1,246
385,7,7899,5,68
386,2,7911,0,363
387,2,7938,0,90
388,1,7943,0,298
389,1,7946,6,95
390,9,7955,7,326
391,1,7964,6,95
392,0,8017,9,38
393,1,8021,3,467
394,1,8028,0,368
395,1,8094,0,44
396,1,8157,8,472
397,1,8165,0,192
398,1,8165,5,361
399,0,8185,5,319
