#,ocla,o_ID,tcla,t_ID
0,9,4284,3,432
1,9,1692,3,467
2,1,1301,7,435
3,9,7058,6,329
4,9,3846,6,392
5,1,1410,5,319
6,9,6565,0,21
7,1,5918,6,329
8,1,1313,6,311
9,9,9598,0,235
10,1,231,6,311
11,9,1915,6,95
12,1,540,5,488
13,1,9592,6,95
14,1,3632,3,332
15,9,1881,6,392
16,9,5967,3,467
17,9,11,6,392
18,1,4372,6,95
19,1,290,5,250
20,1,2220,3,432
21,1,105,5,181
22,6,512,5,39
23,1,231,8,202
24,1,6173,3,396
25,7,643,0,90
26,7,4896,9,38
27,1,6788,5,318
28,1,987,6,95
29,9,3438,6,96
30,1,6788,6,380
31,1,231,5,207
32,9,2177,0,281
33,9,7424,3,77
34,1,4848,6,95
35,9,4680,7,371
36,1,6086,0,90
37,1,3372,0,206
38,9,4704,3,176
39,9,133,3,332
40,8,385,9,38
41,1,4278,5,478
42,1,3661,3,467
43,1,5483,0,281
44,2,4842,9,38
45,1,7486,3,25
46,7,782,9,252
47,1,7516,3,427
48,8,6211,5,343
49,1,5918,3,467
50,9,335,7,386
51,6,7301,8,72
52,1,3033,0,90
53,0,8185,5,319
54,9,5300,5,457
55,9,1387,5,207
56,9,1815,0,235
57,0,3112,6,282
58,1,7013,0,406
59,2,4753,8,92
60,1,1288,0,235
61,1,6084,0,235
62,9,940,6,96
63,8,7525,5,488
64,1,1412,5,141
65,1,9763,5,438
66,1,4015,0,192
67,1,1176,5,319
68,1,1751,2,75
69,6,7183,8,72
70,9,5300,3,77
71,9,4396,0,90
72,9,666,3,158
73,1,2238,6,299
74,8,3383,6,95
75,1,5353,3,251
76,1,3632,6,299
77,5,7636,1,104
78,1,3152,3,127
79,1,2928,5,343
80,7,1839,5,207
81,1,2758,6,95
82,9,9357,5,141
83,1,8663,3,427
84,8,2198,5,319
85,9,7234,3,467
86,8,6798,4,456
87,1,2274,6,95
88,9,6932,3,143
89,8,2492,5,343
90,8,1655,5,319
91,1,1784,3,321
92,8,9988,5,190
93,7,1351,5,212
94,8,3430,5,31
95,1,1378,5,250
96,1,7486,5,343
97,0,281,3,332
98,9,6188,4,365
99,7,4853,5,58
100,0,4228,5,181
101,9,9628,0,235
102,1,4647,6,95
103,9,4417,6,311
104,1,8579,0,125
105,1,7584,7,371
106,9,4928,6,380
107,5,3287,1,104
108,1,5431,5,484
109,7,4688,6,329
110,1,8623,3,467
111,9,4018,3,53
112,7,4154,1,114
113,0,4040,5,39
114,8,4370,5,343
